,0,1
580,"[2, 1, 0, 2]",0.0
581,"[3, 3, 2, 1]",1.0
582,"[6, 4, 2, 3]",0.0
583,"[0, 0, 0, 0]",0.0
584,"[0, 0, 1, 2]",0.0
585,"[3, 1, 0, 1]",0.0
586,"[6, 2, 4, 2]",1.0
587,"[5, 3, 2, 2]",1.0
588,"[3, 3, 2, 3]",1.0
589,"[3, 1, 2, 1]",0.0
590,"[0, 0, 0, 0]",0.0
591,"[3, 0, 0, 3]",0.0
592,"[1, 2, 3, 1]",1.0
593,"[1, 2, 3, 2]",0.0
594,"[1, 3, 1, 1]",0.0
595,"[2, 3, 2, 1]",1.0
596,"[2, 4, 2, 1]",1.0
597,"[0, 0, 0, 0]",0.0
598,"[4, 4, 3, 1]",1.0
599,"[0, 4, 2, 1]",1.0
600,"[3, 0, 3, 2]",0.0
601,"[1, 3, 3, 1]",1.0
602,"[1, 0, 0, 2]",0.0
603,"[2, 2, 2, 1]",1.0
604,"[3, 4, 4, 1]",1.0
605,"[1, 0, 0, 1]",0.0
606,"[3, 3, 3, 2]",1.0
607,"[3, 4, 3, 1]",1.0
608,"[1, 4, 3, 1]",1.0
609,"[2, 0, 1, 3]",0.0
610,"[5, 2, 1, 1]",1.0
611,"[3, 0, 2, 6]",0.0
612,"[1, 0, 0, 1]",0.0
613,"[3, 3, 3, 1]",1.0
614,"[4, 2, 3, 2]",0.0
615,"[2, 1, 3, 1]",1.0
616,"[2, 3, 3, 1]",1.0
617,"[3, 1, 1, 2]",0.0
618,"[1, 1, 0, 1]",0.0
619,"[4, 2, 3, 1]",1.0
620,"[2, 0, 4, 2]",0.0
621,"[3, 3, 4, 1]",1.0
622,"[0, 1, 0, 1]",0.0
623,"[3, 3, 3, 1]",1.0
624,"[0, 0, 0, 0]",0.0
625,"[3, 2, 3, 1]",1.0
626,"[4, 4, 5, 1]",1.0
627,"[3, 3, 3, 2]",1.0
628,"[4, 4, 2, 1]",1.0
629,"[0, 0, 0, 1]",0.0
630,"[4, 3, 1, 2]",1.0
631,"[1, 0, 3, 1]",0.0
632,"[3, 2, 3, 1]",1.0
633,"[3, 0, 1, 3]",0.0
634,"[4, 3, 2, 1]",1.0
635,"[3, 3, 2, 1]",1.0
636,"[3, 3, 2, 1]",1.0
637,"[4, 0, 2, 2]",0.0
638,"[1, 3, 4, 1]",1.0
639,"[0, 1, 0, 1]",0.0
640,"[5, 3, 5, 1]",1.0
641,"[7, 3, 3, 1]",1.0
642,"[5, 2, 1, 2]",1.0
643,"[2, 2, 1, 1]",0.0
644,"[2, 0, 0, 1]",0.0
645,"[9, 0, 2, 10]",0.0
646,"[2, 1, 0, 2]",0.0
647,"[1, 2, 4, 1]",1.0
648,"[0, 0, 2, 4]",0.0
649,"[6, 4, 1, 10]",0.0
650,"[2, 3, 3, 1]",1.0
651,"[1, 3, 3, 1]",1.0
652,"[1, 0, 0, 2]",0.0
653,"[1, 3, 1, 1]",1.0
654,"[3, 3, 3, 1]",1.0
655,"[2, 2, 3, 1]",1.0
656,"[6, 2, 3, 4]",0.0
657,"[6, 3, 4, 1]",1.0
658,"[1, 0, 3, 2]",0.0
659,"[1, 2, 1, 2]",0.0
660,"[3, 2, 4, 1]",1.0
661,"[0, 0, 0, 0]",0.0
662,"[2, 3, 4, 1]",1.0
663,"[1, 0, 0, 5]",0.0
664,"[4, 4, 4, 2]",1.0
665,"[5, 1, 2, 5]",0.0
666,"[5, 4, 5, 1]",1.0
667,"[2, 1, 2, 1]",1.0
668,"[5, 0, 1, 2]",0.0
669,"[2, 0, 2, 1]",0.0
670,"[2, 1, 3, 1]",1.0
671,"[3, 0, 0, 1]",0.0
672,"[4, 1, 2, 1]",1.0
673,"[4, 1, 5, 1]",1.0
674,"[2, 0, 3, 2]",0.0
675,"[4, 2, 3, 1]",1.0
676,"[5, 1, 4, 1]",1.0
677,"[0, 1, 1, 1]",0.0
678,"[7, 0, 1, 3]",0.0
679,"[0, 0, 1, 1]",0.0
680,"[3, 1, 3, 1]",1.0
681,"[4, 1, 2, 1]",1.0
682,"[4, 0, 4, 1]",0.0
683,"[0, 0, 2, 2]",0.0
684,"[3, 2, 3, 1]",1.0
685,"[2, 0, 0, 1]",0.0
686,"[0, 0, 0, 0]",0.0
687,"[3, 2, 2, 1]",1.0
688,"[4, 1, 2, 1]",1.0
689,"[5, 2, 2, 1]",1.0
690,"[3, 0, 3, 1]",0.0
691,"[1, 0, 2, 1]",0.0
692,"[4, 2, 3, 1]",1.0
693,"[2, 2, 2, 1]",1.0
694,"[4, 1, 2, 1]",1.0
695,"[2, 0, 0, 3]",0.0
696,"[2, 1, 2, 1]",1.0
697,"[2, 1, 2, 1]",0.0
